ID_CLIENTE,DATA cadastro,Região,Renda Mensal (R$),Altura (cm),Consumo_kWh (mês),Qtd_Compras_Ano,Categoria_Cliente
CLI-1000,2025-01-01,Sudeste,5091.02,170.7,150.6,3,Prata
CLI-1001,2025-01-02,Norte,13059.27,167.6,150.73,16,Ouro
CLI-1002,2025-01-03,Nordeste,4358.21,170.01935483870972,155.23,23,Bronze
CLI-1003,2025-01-04,Sul,33496.72,154.1,156.28,11,Ouro
CLI-1004,2025-01-05,Sudeste,7418.12,168.2,160.06,12,Platinum
CLI-1005,2025-01-06,Não Informado,3246.04,172.9,163.84,10,Bronze
CLI-1006,2025-01-07,Sudeste,2957.78,181.8,168.56,32,Ouro
CLI-1007,2025-01-08,Centro-Oeste,6768.03,165.9,161.81,16,Prata
CLI-1008,2025-01-09,Sul,5454.389999999999,163.5,173.39,8,Prata
CLI-1009,2025-01-10,Nordeste,7857.91,166.0,162.34,38,Prata
CLI-1010,2025-01-11,Sudeste,6728.6,177.3,162.34,12,Ouro
CLI-1011,2025-01-12,Norte,4846.88,172.6,162.34,24,Prata
Não Informado,2025-01-13,Centro-Oeste,3261.3,165.8,170.82,28,Ouro
CLI-1013,2025-01-14,Sudeste,2495.6800000000003,174.1,168.07,8,Platinum
CLI-1014,2025-01-15,Sudeste,3959.3,170.8,168.95,28,Prata
CLI-1015,2025-01-16,Sudeste,8635.67,170.01935483870972,167.42,36,Platinum
CLI-1016,2025-01-17,Sudeste,5733.14,164.4,166.15,26,Prata
CLI-1017,2025-01-18,Sul,2756.0,167.4,169.2,8,Prata
CLI-1018,2025-01-19,Não Informado,5594.0,166.9,166.19,28,Prata
CLI-1019,2025-01-20,Sudeste,6367.5,158.3,161.26,28,Bronze
CLI-1020,2025-01-21,Sul,3207.28,172.4,164.04,37,Ouro
CLI-1021,2025-01-22,Sudeste,5529.41,172.1,160.09,41,Prata
CLI-1022,2025-01-23,Sudeste,5454.389999999999,170.0,159.28,36,Prata
CLI-1023,2025-01-24,Sudeste,2871.17,168.1,156.3,27,Platinum
CLI-1024,2025-01-25,Sul,6259.56,158.7,149.41,17,Bronze
CLI-1025,2025-01-26,Nordeste,7114.32,166.6,147.68,9,Prata
CLI-1026,2025-01-27,Sudeste,10071.75,167.3,149.08,33,Prata
CLI-1027,2025-01-28,Sul,9871.47,163.6,146.2,20,Ouro
CLI-1028,2025-01-29,Sul,2621.38,170.01935483870972,141.92,13,Prata
CLI-1029,2025-01-30,Sudeste,3131.42,173.2,140.08,28,Ouro
CLI-1030,2025-01-31,Sul,6909.39,185.1,140.08,48,Ouro
CLI-1031,2025-02-01,Sudeste,6903.9,171.4,140.08,29,Bronze
CLI-1032,2025-02-02,Sudeste,6909.44,172.1,140.08,13,Bronze
CLI-1033,2025-02-03,Não Informado,80806.56,169.4,132.07,46,Prata
CLI-1034,2025-02-04,Norte,7160.6,154.6,130.9,35,Bronze
CLI-1035,2025-02-05,Centro-Oeste,10443.31,169.8,134.02,6,Bronze
CLI-1036,2025-02-06,Sudeste,9222.32,170.5,132.68,18,Prata
CLI-1037,2025-02-07,Sudeste,7543.0,189.7,132.44,5,Bronze
CLI-1038,2025-02-08,Nordeste,4241.3,168.5,134.04,47,Prata
CLI-1039,2025-02-09,Sul,5454.389999999999,172.4,130.63,25,Prata
CLI-1040,2025-02-10,Sudeste,3374.04,169.7,133.36,2,Prata
CLI-1041,2025-02-11,Sul,4424.56,170.01935483870972,131.44,10,Prata
CLI-1042,2025-02-12,Sudeste,3881.35,179.1,134.68,30,Prata
CLI-1043,2025-02-13,Norte,5299.41,176.0,134.92,45,Bronze
CLI-1044,2025-02-14,Sudeste,24607.81,176.3,137.44,5,Prata
CLI-1045,2025-02-15,Nordeste,2229.45,162.7,140.97,33,Prata
CLI-1046,2025-02-16,Sudeste,7716.43,181.2,138.95,1,Ouro
CLI-1047,2025-02-17,Não Informado,2414.07,158.8,150.04,18,Prata
CLI-1048,2025-02-18,Sul,3908.02,174.7,143.2,32,Platinum
CLI-1049,2025-02-19,Sudeste,10112.71,187.5,145.09,47,Prata
CLI-1050,2025-02-20,Norte,5245.08,162.1,154.74,49,Bronze
CLI-1051,2025-02-21,Nordeste,5454.389999999999,165.5,156.16,11,Ouro
CLI-1052,2025-02-22,Norte,3466.44,170.8,158.11,21,Bronze
CLI-1053,2025-02-23,Centro-Oeste,7682.92,166.0,160.48,26,Bronze
CLI-1054,2025-02-24,Sul,3441.83,157.6,160.78,25,Bronze
Não Informado,2025-02-25,Norte,5741.32,170.5,160.16,22,Prata
CLI-1056,2025-02-26,Sudeste,5188.139999999999,161.5,164.92,27,Prata
CLI-1057,2025-02-27,Sudeste,3573.85,173.8,164.26,49,Bronze
CLI-1058,2025-02-28,Sudeste,21646.72,162.6,170.55,13,Ouro
CLI-1059,2025-03-01,Sudeste,7457.9,182.4,168.24,33,Bronze
CLI-1060,2025-03-02,Sudeste,2132.46,163.7,166.96,34,Bronze
CLI-1061,2025-03-03,Sudeste,5638.64,167.4,168.91,41,Bronze
CLI-1062,2025-03-04,Centro-Oeste,3556.31,176.5,171.24,35,Bronze
CLI-1063,2025-03-05,Sudeste,8612.79,170.01935483870972,168.11,1,Prata
CLI-1064,2025-03-06,Sudeste,3343.37,171.8,166.81,21,Prata
CLI-1065,2025-03-07,Sul,4733.63,180.5,169.18,48,Prata
CLI-1066,2025-03-08,Sudeste,6865.37,157.1,168.06,6,Bronze
CLI-1067,2025-03-09,Centro-Oeste,8689.95,171.5,164.39,28,Bronze
CLI-1068,2025-03-10,Sudeste,5454.389999999999,172.1,162.84,17,Bronze
CLI-1069,2025-03-11,Norte,4198.1,176.3,163.06,5,Ouro
CLI-1070,2025-03-12,Nordeste,3902.01,160.1,163.06,31,Bronze
CLI-1071,2025-03-13,Sudeste,3570.86,159.4,163.06,5,Prata
CLI-1072,2025-03-14,Não Informado,16360.46,174.2,153.48,38,Platinum
CLI-1073,2025-03-15,Centro-Oeste,6446.08,172.4,152.52,3,Prata
CLI-1074,2025-03-16,Nordeste,2739.82,172.0,151.57,23,Platinum
CLI-1075,2025-03-17,Nordeste,8999.74,172.8,152.52,37,Bronze
CLI-1076,2025-03-18,Nordeste,21297.08,164.6,148.17,37,Ouro
CLI-1077,2025-03-19,Sudeste,9728.3,171.9,142.68,10,Prata
CLI-1078,2025-03-20,Sudeste,2491.77,172.3,140.78,10,Ouro
CLI-1079,2025-03-21,Sudeste,3883.58,170.01935483870972,135.65,19,Bronze
CLI-1080,2025-03-22,Centro-Oeste,11443.94,184.9,136.61,17,Bronze
CLI-1081,2025-03-23,Sul,3479.02,173.8,134.02,21,Bronze
CLI-1082,2025-03-24,Sudeste,6604.94,160.5,134.32,14,Prata
CLI-1083,2025-03-25,Sudeste,8178.28,175.3,129.6,9,Ouro
CLI-1084,2025-03-26,Sudeste,5454.389999999999,162.2,132.66,46,Ouro
CLI-1085,2025-03-27,Sudeste,4883.63,176.3,135.02,1,Bronze
CLI-1086,2025-03-28,Nordeste,1684.32,179.3,129.74,45,Ouro
CLI-1087,2025-03-29,Sul,3016.38,163.4,131.23,13,Bronze
CLI-1088,2025-03-30,Não Informado,4386.84,177.7,132.37,4,Bronze
CLI-1089,2025-03-31,Sul,2753.81,173.3,129.7,1,Bronze
CLI-1090,2025-04-01,Sudeste,14851.17,176.6,132.48,49,Ouro
CLI-1091,2025-04-02,Nordeste,2571.67,170.01935483870972,133.04,40,Bronze
